eventDate,decimalLatitude,decimalLongitude,individualCount,stateProvince,habitat_type,conservation_status,conservation_source
2023-01-03,-21.6359,148.67117,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-03,-21.67896,148.68115,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-04,-37.43318,144.1931,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-01-04,-27.81872,153.32535,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-04,-21.67996,148.68252,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-04,-27.42302,153.514042,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-04,-21.46997,148.82674,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-04,-21.43135,148.88178,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-04,-27.575623,153.271476,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-05,-28.14208,153.39987,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-05,-27.89911,153.31591,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-05,-36.00438,137.03429,1,South Australia,Kanmantoo,Rare,SA NPW Act 1972
2023-01-05,-22.7119,149.66912,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-05,-21.678078,148.680664,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-05,-21.724218,148.729263,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-05,-27.546566,153.272156,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-05,-21.736881,148.737092,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-05,-21.698022,148.691894,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-05,-21.747203,148.742661,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-05,-27.537434,153.273804,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-05,-27.546566,153.272156,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-05,-21.692056,148.689147,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-05,-21.698022,148.691894,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-06,-28.11837,153.42744,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-06,-37.46216,144.18836,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-01-06,-37.44579,144.28335,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-01-06,-35.71212,136.88661,1,South Australia,Kanmantoo,Rare,SA NPW Act 1972
2023-01-06,-27.84465,153.26504,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-06,-37.44201,144.28582,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-01-06,-27.84138,153.3354,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-06,-37.46319,144.18716,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-01-06,-21.737631,148.737258,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
